epoch,lr,train_loss,train_acc,test_loss,test_acc,time_sec
53,0.010000000000000002,0.16092708431243896,94.574,0.2442973838329315,91.83,25.94801163673401
54,0.010000000000000002,0.14692677480697633,94.778,0.23998309898376466,92.15,25.91148567199707
55,0.010000000000000002,0.13593050906658172,95.296,0.23918505458831787,91.99,25.906901121139526
56,0.010000000000000002,0.12675641909599303,95.556,0.24360597100257875,92.0,25.90733766555786
57,0.010000000000000002,0.11870200052261352,96.004,0.24046853771209717,92.4,25.952342987060547
58,0.010000000000000002,0.11106378221035004,96.23,0.24703547472953796,92.33,25.870188236236572
59,0.010000000000000002,0.10389550686597825,96.436,0.24722344589233397,92.29,26.36509346961975
60,0.010000000000000002,0.09885518961429596,96.572,0.24503172769546508,92.25,25.93603515625
61,0.010000000000000002,0.09565517640590668,96.63,0.2533946925163269,92.26,25.940155267715454
62,0.010000000000000002,0.09076088732481002,96.892,0.2729395724773407,91.77,25.91387391090393
63,0.010000000000000002,0.08771104146242142,96.964,0.25929704995155334,92.36,25.95508337020874
64,0.010000000000000002,0.08858085730791092,96.834,0.25763148875236513,92.25,26.176973819732666
65,0.010000000000000002,0.0811116475391388,97.248,0.2645628575325012,92.12,25.920885801315308
66,0.010000000000000002,0.08409146479606629,96.974,0.2676932538509369,92.16,25.95734739303589
67,0.010000000000000002,0.08113201564788819,97.08,0.25178188819885255,92.74,26.10549545288086
68,0.010000000000000002,0.0764785495853424,97.358,0.270141250705719,92.11,25.909149408340454
69,0.010000000000000002,0.07689270514011383,97.266,0.276256767988205,91.78,25.972820281982422
70,0.010000000000000002,0.07659466946005822,97.342,0.2880561462402344,91.82,25.92373013496399
71,0.010000000000000002,0.07683979358673096,97.32,0.2555961855888367,92.39,25.96104121208191
72,0.010000000000000002,0.07904969975948334,97.29,0.27462355880737305,91.77,26.111725330352783
73,0.010000000000000002,0.07368485505104065,97.448,0.27547458844184874,91.95,26.131487369537354
74,0.010000000000000002,0.07849591779112816,97.316,0.28683041372299195,91.42,25.935653924942017
75,0.010000000000000002,0.0744619067311287,97.414,0.27580314149856566,91.98,25.96012830734253
76,0.010000000000000002,0.07811985971927643,97.26,0.30276424379348754,91.43,26.10916256904602
77,0.010000000000000002,0.07613219183921814,97.364,0.28282314863204955,91.66,25.956650972366333
78,0.010000000000000002,0.07514140846729278,97.368,0.2772027707576752,91.92,25.92279553413391
79,0.010000000000000002,0.07775410012245178,97.338,0.2792384659290314,91.63,25.96410083770752
80,0.010000000000000002,0.07649730469226837,97.368,0.2690595330715179,91.92,25.986099004745483
81,0.010000000000000002,0.08015869651079179,97.212,0.273953919506073,92.19,26.129750967025757
82,0.010000000000000002,0.07569333252668381,97.382,0.28101653571128843,91.51,26.063798427581787
83,0.010000000000000002,0.07778830668687821,97.29,0.3084426136493683,91.31,25.995083570480347
84,0.010000000000000002,0.07757224259614945,97.252,0.3034257976055145,91.09,25.94499182701111
85,0.010000000000000002,0.08341626132726669,97.098,0.30103900952339174,91.18,25.92518401145935
86,0.010000000000000002,0.07679111501932144,97.278,0.302382488822937,91.17,25.943140029907227
87,0.010000000000000002,0.0768941479897499,97.4,0.31045118017196655,91.03,25.92711615562439
88,0.010000000000000002,0.08059878841876984,97.148,0.3145676526069641,90.94,25.921897888183594
89,0.010000000000000002,0.07452577100753784,97.484,0.2971635327339172,91.35,25.961875677108765
90,0.010000000000000002,0.07981297611713409,97.238,0.3065768669605255,91.12,25.96597671508789
91,0.010000000000000002,0.08246050397157668,97.218,0.3395537419319153,90.21,25.892977237701416
92,0.010000000000000002,0.07717343354225159,97.378,0.3022366578102112,91.51,25.97273588180542
93,0.010000000000000002,0.07980574052333832,97.222,0.2959929791450501,91.51,26.358023405075073
94,0.010000000000000002,0.07683715930700302,97.346,0.32936920926570895,90.65,25.937016248703003
95,0.010000000000000002,0.080143175624609,97.182,0.33144050822258,90.68,25.901073694229126
96,0.010000000000000002,0.08213389434099197,97.168,0.3116075982570648,90.67,25.977782487869263
97,0.010000000000000002,0.07384920663356781,97.448,0.3100797393798828,91.18,25.915687322616577
98,0.010000000000000002,0.07890652763843536,97.304,0.30093134026527407,91.24,25.923070907592773
99,0.010000000000000002,0.07963591832637787,97.2,0.32357814135551455,90.78,25.989585399627686
100,0.0010000000000000002,0.07809274680137634,97.23,0.2977654607772827,91.44,26.121633529663086
101,0.0010000000000000002,0.04195188226819038,98.636,0.24475944619178772,92.82,25.94927716255188
102,0.0010000000000000002,0.028212657685279845,99.094,0.2423305992603302,93.07,26.06120467185974
103,0.0010000000000000002,0.021999594116210937,99.396,0.24304810190200807,92.98,26.146881103515625
104,0.0010000000000000002,0.018833750566840172,99.49,0.24317719068527222,93.21,26.097252368927002
105,0.0010000000000000002,0.01753378331065178,99.474,0.24365037488937377,93.19,26.10393214225769
106,0.0010000000000000002,0.015871262785196304,99.57,0.2478385841369629,93.2,25.95796298980713
107,0.0010000000000000002,0.01518334147721529,99.554,0.2454197163105011,93.34,26.087892770767212
108,0.0010000000000000002,0.01235953020632267,99.654,0.24921364784240724,93.43,26.125418186187744
109,0.0010000000000000002,0.012386695349514485,99.642,0.2459337667942047,93.54,26.116791009902954
110,0.0010000000000000002,0.012116334754824638,99.694,0.25072423310279845,93.4,26.035319328308105
111,0.0010000000000000002,0.010373369248658419,99.704,0.2502439212322235,93.47,25.99471092224121
112,0.0010000000000000002,0.011475884845256806,99.674,0.2514163663387299,93.54,26.142815351486206
113,0.0010000000000000002,0.009447171595320105,99.772,0.25352822198867797,93.46,26.1319363117218
114,0.0010000000000000002,0.010105095468536019,99.732,0.2526336382865906,93.63,25.946907997131348
115,0.0010000000000000002,0.00906774132952094,99.768,0.2522860702514648,93.5,26.097888946533203
116,0.0010000000000000002,0.00785827890843153,99.824,0.25369194984436033,93.55,26.321763038635254
117,0.0010000000000000002,0.007999007021188735,99.806,0.25580092606544497,93.58,25.933944702148438
118,0.0010000000000000002,0.007986674872934819,99.816,0.2556705557346344,93.65,25.94771385192871
119,0.0010000000000000002,0.007480140124708414,99.828,0.2559692408561707,93.57,25.88882565498352
120,0.0010000000000000002,0.006864023693501949,99.848,0.25213204617500307,93.76,25.95318865776062
121,0.0010000000000000002,0.007095693076252937,99.846,0.25815331134796143,93.57,26.12001371383667
122,0.0010000000000000002,0.006805345306918025,99.83,0.2556645489692688,93.77,25.885703802108765
123,0.0010000000000000002,0.006993996761441231,99.816,0.2567117209434509,93.77,25.892749786376953
124,0.0010000000000000002,0.006536969243437052,99.84,0.2546282863616943,93.81,25.97104239463806
125,0.0010000000000000002,0.006640495944321156,99.84,0.2553969020366669,93.82,25.85916042327881
126,0.0010000000000000002,0.005884833914935589,99.868,0.2589133240699768,93.68,25.94303059577942
127,0.0010000000000000002,0.006125353087335825,99.858,0.2569241328716278,93.65,25.92972731590271
128,0.0010000000000000002,0.006189842167943716,99.832,0.25781040897369384,93.87,25.88712191581726
129,0.0010000000000000002,0.005580963968336582,99.87,0.2603422004699707,93.74,25.94499444961548
130,0.0010000000000000002,0.0058453679116070275,99.858,0.25964119958877563,93.62,25.90258264541626
131,0.0010000000000000002,0.006125928663425147,99.858,0.258586559343338,93.72,25.920178174972534
132,0.0010000000000000002,0.00544458640024066,99.886,0.2582265376806259,93.87,25.972158670425415
133,0.0010000000000000002,0.005632868325561285,99.864,0.2610031364440918,93.72,25.979543209075928
134,0.0010000000000000002,0.00496113250374794,99.878,0.2596691203594208,93.88,25.89136242866516
135,0.0010000000000000002,0.00506487877368927,99.876,0.2604730056762695,93.8,25.89814043045044
136,0.0010000000000000002,0.005255796587914229,99.888,0.2575116463422775,93.83,25.959988117218018
137,0.0010000000000000002,0.0048732597593963145,99.902,0.25852193751335145,93.8,25.88298797607422
138,0.0010000000000000002,0.004353095503300429,99.91,0.2621609058856964,93.68,25.982787609100342
139,0.0010000000000000002,0.004567423896491528,99.9,0.2612054316520691,93.63,25.9654381275177
140,0.0010000000000000002,0.0050544394512474534,99.868,0.2614819983959198,93.75,25.920225143432617
141,0.0010000000000000002,0.004574972600191831,99.898,0.26180758891105654,93.85,25.957275867462158
142,0.0010000000000000002,0.004792007327824831,99.892,0.2622262064695358,93.63,25.92578887939453
143,0.0010000000000000002,0.004065418505966663,99.93,0.26474393038749694,93.68,26.167991638183594
144,0.0010000000000000002,0.004334819739311934,99.91,0.2612370820045471,93.88,25.902923822402954
145,0.0010000000000000002,0.004358949562758207,99.914,0.26226376354694364,93.95,25.93316102027893
146,0.0010000000000000002,0.003782694533467293,99.938,0.2595958281517029,93.91,25.908774375915527
147,0.0010000000000000002,0.004184274555072189,99.904,0.2645463819026947,93.76,25.943373680114746
148,0.0010000000000000002,0.004287183390557766,99.906,0.2638106071472168,93.88,25.936928510665894
149,0.0010000000000000002,0.0042209596429765225,99.898,0.2628325560569763,93.82,25.959936141967773
150,0.00010000000000000003,0.0042685538670420645,99.912,0.26364863691329954,93.83,25.93717074394226
151,0.00010000000000000003,0.003657688242048025,99.936,0.2644988648891449,93.82,25.90480375289917
152,0.00010000000000000003,0.0038720639961212873,99.926,0.2631335975885391,93.87,25.965140104293823
153,0.00010000000000000003,0.00395777814000845,99.924,0.263501103591919,93.85,26.55121660232544
154,0.00010000000000000003,0.004183617910146713,99.9,0.2625813725948334,93.83,26.33076548576355
155,0.00010000000000000003,0.0036769429358839987,99.928,0.26205054664611815,93.93,26.55845856666565
156,0.00010000000000000003,0.003521291821189225,99.932,0.2606765941143036,93.91,27.987775325775146
157,0.00010000000000000003,0.003954418233409524,99.914,0.2618530894041061,93.88,26.757290601730347
158,0.00010000000000000003,0.003845439369380474,99.924,0.26211825218200685,93.93,26.847379446029663
159,0.00010000000000000003,0.003443655094616115,99.944,0.2602353192329407,93.8,26.405264854431152
160,0.00010000000000000003,0.003226782250329852,99.946,0.2597589705944061,93.95,27.07893443107605
161,0.00010000000000000003,0.003237311198785901,99.944,0.2616661625623703,93.93,26.97979974746704
162,0.00010000000000000003,0.003352120434343815,99.942,0.26114367294311525,93.83,26.938570261001587
163,0.00010000000000000003,0.0035850359401479364,99.934,0.26115152249336243,93.89,26.96513295173645
164,0.00010000000000000003,0.0035323537661135196,99.928,0.261366988825798,93.83,26.53104043006897
165,0.00010000000000000003,0.0033966715514659883,99.944,0.2608734978914261,93.93,26.256853342056274
