epoch,img_size,randaug_mag,dropout,mixup_alpha,lr,train_loss,train_acc,val_loss,val_acc,seconds
1,96,5,0.05,0.0,0.000998458666866564,1.953649755476684,0.2557218309859155,1.7013308864593506,0.3406,122.52935528755188
2,98,5,0.05384615384615385,0.005128205128205128,0.0009938441702975688,1.457159836451009,0.2842909731113957,2.255079243850708,0.3323,123.02615237236023
3,99,6,0.057692307692307696,0.010256410256410256,0.0009861849601988382,1.1127878332870718,0.3537532010243278,1.6969237392425538,0.4304,122.54829287528992
4,101,6,0.06153846153846154,0.015384615384615385,0.0009755282581475767,0.9250826003762121,0.3877040653008963,1.301234125328064,0.5522,122.9635398387909
5,103,6,0.06538461538461539,0.020512820512820513,0.0009619397662556432,0.8251140797260323,0.4186939820742638,1.3533112411499024,0.5516,123.03672218322754
6,104,6,0.06923076923076923,0.02564102564102564,0.0009455032620941838,0.7500726757296832,0.43703985275288093,1.2496970123291016,0.592,123.10019779205322
7,106,7,0.07307692307692308,0.03076923076923077,0.000926320082177046,0.7232783034195821,0.4466829385403329,1.1820178588867187,0.5982,125.7522828578949
8,107,7,0.07692307692307693,0.0358974358974359,0.0009045084971874736,0.67295542878317,0.45900688220230473,0.9625482116699219,0.6661,125.59685611724854
9,109,7,0.08076923076923077,0.041025641025641026,0.0008802029828000154,0.6580751226706938,0.47151088348271447,0.9173050157546997,0.6875,126.61530184745789
10,111,7,0.08461538461538462,0.046153846153846156,0.0008535533905932736,0.5968194653717718,0.46168774007682456,0.8030580074310303,0.7187,126.3472843170166
11,112,8,0.08846153846153847,0.05128205128205128,0.0008247240241650918,0.6122314955719607,0.46610915492957744,0.7224915142059326,0.762,126.54322910308838
12,114,8,0.09230769230769231,0.05641025641025641,0.0007938926261462365,0.5939148435519386,0.47567221510883484,0.6620250476837158,0.7796,134.6483027935028
13,116,8,0.09615384615384617,0.06153846153846154,0.0007612492823579742,0.5617942753964594,0.4836547695262484,0.6255994487762451,0.7923,133.96822881698608
14,117,8,0.1,0.06666666666666667,0.0007269952498697732,0.5446678740514989,0.5040212868117798,0.6411860342979431,0.7928,134.77771544456482
15,119,9,0.10384615384615387,0.0717948717948718,0.0006913417161825447,0.5737477284730931,0.4905769846350832,0.5688149116516114,0.8037,134.7738757133484
16,121,9,0.1076923076923077,0.07692307692307693,0.0006545084971874736,0.5274748374229815,0.4853953265044814,0.49869931898117065,0.8366,137.58007645606995
17,122,9,0.11153846153846156,0.08205128205128205,0.0006167226819279527,0.5325120723258976,0.5075424135723432,0.4508878846168518,0.855,137.1728355884552
18,124,9,0.11538461538461539,0.08717948717948719,0.0005782172325201154,0.5041361256918743,0.4840949103713188,0.49700855197906496,0.8382,137.62455248832703
19,126,10,0.11923076923076925,0.09230769230769231,0.0005392295478639224,0.5560383162295467,0.5138444302176697,0.4088550313949585,0.8693,138.4439606666565
20,127,10,0.12307692307692308,0.09743589743589744,0.0004999999999999999,0.5230447177735853,0.4980793854033291,0.4164262622833252,0.8716,137.96756792068481
21,129,10,0.12692307692307692,0.10256410256410256,0.0004607704521360775,0.5258325663336795,0.47071062740076824,0.3511835282802582,0.885,167.9748764038086
22,130,10,0.13076923076923078,0.1076923076923077,0.0004217827674798846,0.5238226441602091,0.5037612035851472,0.32091822814941406,0.8934,166.78933954238892
23,132,11,0.13461538461538464,0.11282051282051282,0.0003832773180720472,0.5158342108006437,0.5017005441741357,0.3096712678909302,0.9009,167.18621826171875
24,134,11,0.13846153846153847,0.11794871794871796,0.0003454915028125262,0.5389648181566356,0.49813940460947503,0.29083619022369384,0.9081,169.5616579055786
25,135,11,0.14230769230769233,0.12307692307692308,0.00030865828381745506,0.50796804820377,0.5163452304737516,0.3327410499572754,0.9082,168.57557606697083
26,137,11,0.1461538461538462,0.12820512820512822,0.0002730047501302265,0.4961733838946352,0.4910771446862996,0.27452023077011106,0.9133,172.55926728248596
27,139,12,0.15000000000000002,0.13333333333333333,0.0002387507176420255,0.5166688936591988,0.49583866837387963,0.2734028391361237,0.9149,172.23703265190125
28,140,12,0.15384615384615385,0.13846153846153847,0.0002061073738537634,0.4985445828657602,0.5145046414852753,0.24715567994117738,0.9243,172.07693004608154
29,142,12,0.15769230769230771,0.1435897435897436,0.00017527597583490815,0.5094254112941965,0.5178457106274008,0.24854961562156677,0.9265,173.39496636390686
30,144,12,0.16153846153846158,0.14871794871794872,0.0001464466094067262,0.5061061328775446,0.5290693021766966,0.23787684264183045,0.9258,173.9844470024109
31,145,13,0.1653846153846154,0.15384615384615385,0.00011979701719998447,0.5322765093940702,0.5290492957746479,0.2430427867412567,0.9306,192.71903777122498
32,147,13,0.16923076923076924,0.15897435897435896,9.549150281252627e-05,0.5551251993251061,0.5185059218950064,0.22111197624206544,0.9309,191.51104712486267
33,149,13,0.1730769230769231,0.1641025641025641,7.367991782295387e-05,0.5407607592523059,0.5339908770806658,0.21867765135765074,0.9341,193.38099431991577
34,150,13,0.17692307692307696,0.16923076923076924,5.4496737905816076e-05,0.5081702491981616,0.5011403649167734,0.20872856011390686,0.9346,192.73388528823853
35,152,14,0.1807692307692308,0.17435897435897438,3.806023374435661e-05,0.5728992425220113,0.5075824263764405,0.21676320912837982,0.9348,193.37426447868347
36,153,14,0.18461538461538463,0.17948717948717952,2.447174185242322e-05,0.5552034019307733,0.5198863636363636,0.2112386421918869,0.937,197.9802746772766
37,155,14,0.1884615384615385,0.18461538461538463,1.3815039801161714e-05,0.547389689828156,0.525848271446863,0.2344591088294983,0.9387,197.584947347641
38,157,14,0.19230769230769235,0.18974358974358974,6.155829702431168e-06,0.5773510129051462,0.519866357234315,0.19686941690444945,0.9399,197.91962099075317
39,158,15,0.19615384615384618,0.19487179487179487,1.5413331334360176e-06,0.5993236316017396,0.5160851472471191,0.2175708158016205,0.9383,198.55387830734253
40,160,15,0.2,0.2,0.0,0.6227236209286999,0.5070622599231754,0.21616000442504882,0.9395,197.70144391059875
