epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,params
1,0.0009998286624877785,1.362831300125122,0.51044,0.9861346042633057,0.6498,0.6498,266209
2,0.0009993147673772868,0.9371435845184326,0.67698,0.7907749291419983,0.7204,0.7204,266209
3,0.000998458666866564,0.783189972190857,0.7357,0.6779729228973389,0.7647,0.7647,266209
4,0.0009972609476841365,0.6906851362991333,0.77142,0.6044381233215332,0.7919,0.7919,266209
5,0.000995722430686905,0.6269822891807556,0.7902,0.5958664474964142,0.799,0.799,266209
6,0.0009938441702975688,0.5780658251571655,0.80668,0.5177114410400391,0.8251,0.8251,266209
7,0.0009916274537819772,0.5434052684974671,0.81748,0.5063983389854431,0.8276,0.8276,266209
8,0.0009890738003669026,0.5146324911880493,0.82898,0.5183698223590851,0.826,0.8276,266209
9,0.000986184960198838,0.4869705211639404,0.83882,0.5054998976707459,0.8293,0.8293,266209
10,0.0009829629131445337,0.4662983338546753,0.84504,0.43742912039756776,0.8531,0.8531,266209
11,0.0009794098674340962,0.4442381173610687,0.85298,0.46322953691482543,0.8482,0.8531,266209
12,0.0009755282581475765,0.4303982597351074,0.85684,0.45373965620994566,0.8461,0.8531,266209
13,0.000971320745546089,0.41336610733032225,0.86218,0.4465123934745789,0.8513,0.8531,266209
14,0.0009667902132486006,0.4010529082584381,0.8665,0.4240638009548187,0.8615,0.8615,266209
15,0.0009619397662556431,0.38054926013946533,0.87198,0.4058366667747498,0.8664,0.8664,266209
16,0.0009567727288213001,0.37178312499046323,0.87542,0.4410324313163757,0.8587,0.8664,266209
17,0.0009512926421749302,0.3663244129276276,0.87862,0.4488716857910156,0.8568,0.8664,266209
18,0.0009455032620941837,0.3488462853431702,0.88432,0.4088791702270508,0.8665,0.8665,266209
19,0.0009394085563309825,0.3414014897346497,0.8863,0.4338797779083252,0.8615,0.8665,266209
20,0.0009330127018922192,0.32845470368385316,0.88936,0.4072492498397827,0.8688,0.8688,266209
21,0.0009263200821770459,0.3213572605609894,0.89164,0.4218635007858276,0.8727,0.8727,266209
22,0.0009193352839727118,0.3085004085159302,0.8978,0.41862467966079714,0.8702,0.8727,266209
23,0.0009120630943110076,0.3018300087070465,0.89936,0.4289539312839508,0.8712,0.8727,266209
24,0.0009045084971874735,0.29635451201438906,0.90062,0.39405921964645385,0.8787,0.8787,266209
25,0.0008966766701456174,0.28572007358551027,0.9046,0.4031410577297211,0.8766,0.8787,266209
26,0.0008885729807284853,0.28096768476486206,0.90514,0.410413258266449,0.8768,0.8787,266209
27,0.0008802029828000154,0.27135656029701233,0.90902,0.40931919813156126,0.8757,0.8787,266209
28,0.000871572412738697,0.2699909546613693,0.90888,0.41810228972435,0.8756,0.8787,266209
29,0.0008626871855061437,0.2579775752925873,0.91374,0.3879505431175232,0.8848,0.8848,266209
30,0.0008535533905932737,0.25083099050045016,0.91556,0.38775498661994934,0.8857,0.8857,266209
31,0.0008441772878468768,0.2450433150100708,0.91738,0.39621087312698366,0.8803,0.8857,266209
32,0.0008345653031794289,0.23821215346336364,0.91868,0.40937291464805603,0.8811,0.8857,266209
33,0.0008247240241650917,0.23860193684339523,0.91954,0.40432205581665037,0.881,0.8857,266209
34,0.0008146601955249186,0.2278821823644638,0.92344,0.4032853651046753,0.8772,0.8857,266209
35,0.0008043807145043601,0.22631375743865967,0.92386,0.39960772569179537,0.8846,0.8857,266209
36,0.0007938926261462363,0.22233822400093078,0.92544,0.4134782112598419,0.8835,0.8857,266209
37,0.0007832031184624162,0.21426271476268768,0.92736,0.40450988721847536,0.8881,0.8881,266209
38,0.0007723195175075133,0.21371634377002716,0.92664,0.39004475750923157,0.8892,0.8892,266209
39,0.0007612492823579742,0.20688558370113372,0.92964,0.3850795422554016,0.8905,0.8905,266209
40,0.0007499999999999998,0.20128918409347535,0.93142,0.40038354909420015,0.8886,0.8905,266209
41,0.0007385793801298041,0.19256397925376892,0.93352,0.3907812261581421,0.8925,0.8925,266209
42,0.0007269952498697732,0.19327349037647248,0.93388,0.45277901227474215,0.8817,0.8925,266209
43,0.0007152555484041474,0.1871253349494934,0.9368,0.3972720354318619,0.8946,0.8946,266209
44,0.0007033683215378999,0.18218883743286132,0.9384,0.4204591147899628,0.889,0.8946,266209
45,0.0006913417161825446,0.17333110266208648,0.94264,0.40469033589363096,0.8929,0.8946,266209
46,0.00067918397477265,0.1722540829563141,0.94102,0.40012889342308045,0.8954,0.8954,266209
47,0.0006669034296168852,0.16604239142417906,0.94326,0.4254628793239594,0.8883,0.8954,266209
48,0.0006545084971874735,0.16237857007026674,0.94478,0.4171872576236725,0.8959,0.8959,266209
49,0.0006420076723519612,0.16038277593851089,0.9453,0.4210387966632843,0.8947,0.8959,266209
50,0.0006294095225512601,0.15828105841398238,0.94646,0.4081115946531296,0.8969,0.8969,266209
51,0.0006167226819279525,0.15215628360509872,0.94874,0.4290736797094345,0.89,0.8969,266209
52,0.0006039558454088793,0.14868067064285279,0.9488,0.4264799100160599,0.896,0.8969,266209
53,0.0005911177627460734,0.14714377475380896,0.94964,0.41667014871835706,0.8992,0.8992,266209
54,0.000578217232520115,0.14468063789606095,0.95014,0.4099299863100052,0.9008,0.9008,266209
55,0.0005652630961100254,0.13789378937244415,0.9534,0.4301439608335495,0.8991,0.9008,266209
56,0.0005522642316338264,0.13397560406655074,0.95442,0.440874675822258,0.8986,0.9008,266209
57,0.0005392295478639221,0.13047765954971313,0.95518,0.43513402268886564,0.8975,0.9008,266209
58,0.0005261679781214714,0.12916387655377387,0.9555,0.4255437154889107,0.9014,0.9014,266209
59,0.0005130884741539361,0.12340437663912773,0.9579,0.43069273856282236,0.8978,0.9014,266209
60,0.0004999999999999997,0.11848445489645004,0.95852,0.4580304800748825,0.8941,0.9014,266209
61,0.00048691152584606306,0.11924789339661598,0.9598,0.4344925458908081,0.9018,0.9018,266209
62,0.00047383202187852773,0.11490218779325485,0.96088,0.45306828155517576,0.8987,0.9018,266209
63,0.00046077045213607716,0.10781047654628753,0.96366,0.44194040970802306,0.8989,0.9018,266209
64,0.00044773576836617293,0.112901231238842,0.96112,0.45651154079437256,0.9009,0.9018,266209
65,0.0004347369038899739,0.10852255946993827,0.96274,0.4661301649808884,0.8986,0.9018,266209
66,0.00042178276747988416,0.1053902603572607,0.96304,0.4597123703956604,0.9028,0.9028,266209
67,0.000408882237253926,0.09955462154269218,0.9665,0.42692384046316145,0.9024,0.9028,266209
68,0.0003960441545911199,0.09706070673644543,0.96686,0.4561149075627327,0.9014,0.9028,266209
69,0.00038327731807204696,0.09592125148177147,0.9678,0.44181009991168974,0.9036,0.9036,266209
70,0.0003705904774487393,0.09053363008439541,0.9686,0.46919749073982236,0.9038,0.9038,266209
71,0.0003579923276480383,0.09150574053645134,0.9693,0.4904334239721298,0.9042,0.9042,266209
72,0.000345491502812526,0.08773209172606468,0.97032,0.4672848880767822,0.9009,0.9042,266209
73,0.0003330965703831143,0.08619377666354179,0.97022,0.4580027030467987,0.9038,0.9042,266209
74,0.0003208160252273496,0.08100197760462761,0.97196,0.4790114622592926,0.9031,0.9042,266209
75,0.00030865828381745485,0.08021986433386803,0.97306,0.49017717003822325,0.9044,0.9044,266209
76,0.00029663167846209965,0.0751351401233673,0.97446,0.49496102304458617,0.9038,0.9044,266209
77,0.0002847444515958523,0.07740949453413487,0.97352,0.4778520476043224,0.9037,0.9044,266209
78,0.0002730047501302264,0.07424099199563265,0.9744,0.48986477741003037,0.9024,0.9044,266209
79,0.00026142061987019554,0.07533392420291901,0.97406,0.49102287843823433,0.9045,0.9045,266209
