epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,params
80,0.0002499999999999999,0.0716348425078392,0.97594,0.492233460354805,0.9067,0.9067,266209
81,0.0002387507176420254,0.06503507924854755,0.97856,0.4930232364654541,0.9063,0.9067,266209
82,0.00022768048249248644,0.06666875628858805,0.97768,0.501307268345356,0.9072,0.9072,266209
83,0.0002167968815375833,0.06373239195734262,0.97814,0.4910124089717865,0.906,0.9072,266209
84,0.00020610737385376332,0.06412908208221198,0.97788,0.48212800385952,0.9088,0.9088,266209
85,0.0001956192854956395,0.05893161620937288,0.98046,0.49870426230430603,0.9062,0.9088,266209
86,0.00018533980447508122,0.05872967870593071,0.9802,0.5088413878202438,0.9059,0.9088,266209
87,0.0001752759758349081,0.05649456345647574,0.9803,0.4958635204792023,0.9088,0.9088,266209
88,0.00016543469682057092,0.05416444910109043,0.98202,0.5030695575594902,0.9053,0.9088,266209
89,0.0001558227121531228,0.05575184335701167,0.98072,0.5195735583305359,0.908,0.9088,266209
90,0.00014644660940672615,0.053053317908644676,0.9819,0.5140467129230499,0.9104,0.9104,266209
91,0.00013731281449385607,0.050605005609095095,0.98266,0.5216111880660057,0.9075,0.9104,266209
92,0.00012842758726130284,0.04993334697008133,0.98342,0.5054736684083938,0.9075,0.9104,266209
93,0.00011979701719998446,0.047900096097141506,0.98376,0.5070736007332802,0.9099,0.9104,266209
94,0.00011142701927151448,0.048274181392788884,0.98398,0.5015065143823624,0.9095,0.9104,266209
95,0.0001033233298543823,0.04568028052836656,0.98424,0.5175611828565597,0.9081,0.9104,266209
96,9.549150281252627e-05,0.04468980494350195,0.98538,0.5261104788541794,0.9092,0.9104,266209
97,8.793690568899221e-05,0.046926152857989074,0.9842,0.529958022993803,0.9109,0.9109,266209
98,8.066471602728798e-05,0.044319423484504225,0.9853,0.5361433927178383,0.9089,0.9109,266209
99,7.367991782295387e-05,0.04281674108169973,0.9859,0.5252707735538482,0.9103,0.9109,266209
100,6.698729810778061e-05,0.042109777245372536,0.98604,0.5205451182484627,0.9107,0.9109,266209
101,6.0591443669017327e-05,0.039725814081206914,0.98652,0.5344451483726501,0.9102,0.9109,266209
102,5.4496737905816076e-05,0.0403304993237555,0.98664,0.5322340201973915,0.9079,0.9109,266209
103,4.870735782506977e-05,0.04014040491819382,0.98622,0.5348270604610443,0.9073,0.9109,266209
104,4.322727117869949e-05,0.037792708146870135,0.98748,0.5404469463348389,0.9081,0.9109,266209
105,3.806023374435661e-05,0.037322541541568936,0.98706,0.5322734898090362,0.9093,0.9109,266209
106,3.320978675139911e-05,0.03961429895967245,0.9867,0.5303622905254364,0.9101,0.9109,266209
107,2.8679254453910824e-05,0.037768509698659185,0.98756,0.5445834231853485,0.9102,0.9109,266209
108,2.447174185242322e-05,0.03479571144118905,0.98898,0.5314234996795655,0.9106,0.9109,266209
109,2.0590132565903517e-05,0.03645846624273807,0.98754,0.5484779332876205,0.9102,0.9109,266209
110,1.7037086855465833e-05,0.03661504674814642,0.98808,0.5316527349710465,0.9097,0.9109,266209
111,1.3815039801161713e-05,0.035960218118429185,0.98834,0.5324990494966507,0.9098,0.9109,266209
112,1.0926199633097147e-05,0.03618904566556215,0.9879,0.5384097096681595,0.9102,0.9109,266209
113,8.37254621802274e-06,0.03359574299439788,0.98882,0.523965056180954,0.9096,0.9109,266209
114,6.155829702431166e-06,0.03481838724384084,0.98832,0.5307599719285965,0.9092,0.9109,266209
115,4.277569313094806e-06,0.03402415013924241,0.98812,0.5375422281742096,0.9093,0.9109,266209
116,2.7390523158632978e-06,0.0342988922688365,0.989,0.5419261508941651,0.9101,0.9109,266209
117,1.541333133436017e-06,0.03370179485777393,0.9889,0.5412948025822639,0.9091,0.9109,266209
118,6.852326227130829e-07,0.034593688361495734,0.9884,0.5517640009403229,0.9102,0.9109,266209
119,1.7133751222136994e-07,0.0340673320646584,0.9887,0.5349459052801132,0.9112,0.9112,266209
120,0.0,0.033533081568628546,0.98888,0.5433654331326485,0.9096,0.9112,266209
